1641629246581385216,0.35407,-0.04292,0.15350,-0.77265,0.12883,-0.06456,0.61826,
1641629246631385344,0.37115,-0.04276,0.15196,-0.77104,0.15015,-0.07475,0.61430,
1641629246681385216,0.38796,-0.04237,0.15360,-0.76675,0.16466,-0.09548,0.61308,
1641629246731385344,0.40406,-0.04226,0.15844,-0.76076,0.17995,-0.11193,0.61346,
1641629246781385216,0.41871,-0.04243,0.16647,-0.75301,0.19341,-0.12382,0.61664,
1641629246831385088,0.43092,-0.04199,0.17635,-0.74779,0.19855,-0.13467,0.61907,
1641629246881385216,0.44100,-0.04044,0.18796,-0.74622,0.19773,-0.14790,0.61821,
1641629246931385344,0.44943,-0.03852,0.20107,-0.74496,0.19426,-0.16413,0.61673,
1641629246981385216,0.45707,-0.03654,0.21590,-0.73892,0.19286,-0.18002,0.62000,
1641629247031385088,0.46247,-0.03597,0.23094,-0.72929,0.19447,-0.19500,0.62633,
1641629247081386240,0.46688,-0.03526,0.24476,-0.72258,0.19553,-0.20608,0.63023,
1641629247131385344,0.46969,-0.03475,0.25568,-0.71765,0.19442,-0.21141,0.63442,
1641629247331385088,0.47297,-0.03305,0.25127,-0.72237,0.19919,-0.19338,0.63334,
1641629247381385216,0.46853,-0.02803,0.23795,-0.72892,0.20475,-0.17494,0.62941,
1641629247431385344,0.46105,-0.02042,0.22082,-0.73868,0.20424,-0.15443,0.62353,
1641629247481385216,0.45040,-0.01130,0.20228,-0.75067,0.19686,-0.13143,0.61682,
1641629247531385088,0.43667,-0.00125,0.18399,-0.76216,0.18524,-0.11197,0.61013,
1641629247581385216,0.42080,0.00870,0.16728,-0.77349,0.16670,-0.09871,0.60347,
1641629247631385344,0.40445,0.01885,0.15343,-0.78324,0.14966,-0.08522,0.59739,
1641629247681385216,0.38856,0.02891,0.14391,-0.79224,0.13276,-0.06975,0.59150,
1641629247731385344,0.37321,0.03821,0.13979,-0.79911,0.11602,-0.05001,0.58776,
1641629247781385216,0.35885,0.04600,0.14121,-0.80062,0.09984,-0.03192,0.58994,
1641629247831385088,0.34633,0.05190,0.14862,-0.79666,0.08584,-0.01549,0.59811,
1641629247881385216,0.33637,0.05602,0.16149,-0.78826,0.07521,-0.00209,0.61073,
1641629247931385344,0.32974,0.05862,0.17889,-0.77780,0.06771,0.00980,0.62478,
1641629247981385216,0.32648,0.05973,0.19921,-0.76678,0.06264,0.01969,0.63855,
1641629248031385088,0.32666,0.05978,0.22075,-0.75676,0.05998,0.02740,0.65036,
1641629248081385216,0.32980,0.05898,0.24234,-0.74682,0.06234,0.03468,0.66119,
1641629248131385344,0.33540,0.05687,0.26271,-0.73553,0.06734,0.04197,0.67283,
1641629248181385216,0.34313,0.05408,0.28041,-0.72391,0.07678,0.04625,0.68404,
1641629248231386112,0.35244,0.05114,0.29382,-0.71453,0.08764,0.04579,0.69258,
1641629248281385216,0.36303,0.04799,0.30245,-0.70715,0.09997,0.04285,0.69865,
1641629248331385088,0.37443,0.04421,0.30526,-0.70147,0.11246,0.03597,0.70285,
1641629248381385216,0.38629,0.03985,0.30269,-0.70013,0.12336,0.03039,0.70262,
1641629248431386112,0.39810,0.03561,0.29548,-0.70161,0.13434,0.02283,0.69941,
1641629248481385216,0.40981,0.03148,0.28501,-0.70527,0.14599,0.01400,0.69361,
1641629248531385088,0.42127,0.02757,0.27228,-0.70938,0.15794,0.00414,0.68689,
1641629248581385216,0.43233,0.02302,0.25760,-0.71551,0.16771,-0.00448,0.67816,
1641629248631385344,0.44288,0.01903,0.24137,-0.72385,0.17675,-0.01249,0.66682,
